Gene1,Gene2,value
ENSG00000135506,ENSG00000063180,-0.155896937
ENSG00000135744,ENSG00000063180,0.329515085
ENSG00000138834,ENSG00000063180,0.896619162
ENSG00000139899,ENSG00000063180,0.895283289
ENSG00000141753,ENSG00000063180,-0.486176889
ENSG00000143632,ENSG00000063180,-0.192348661
ENSG00000149925,ENSG00000063180,-0.099765208
ENSG00000159335,ENSG00000063180,0.446627003
ENSG00000161016,ENSG00000063180,-0.339541527
ENSG00000163453,ENSG00000063180,0.025403782
ENSG00000166165,ENSG00000063180,0.851165507
ENSG00000166963,ENSG00000063180,0.824137714
ENSG00000167468,ENSG00000063180,-0.259023163
ENSG00000167658,ENSG00000063180,-0.226226082
ENSG00000167676,ENSG00000063180,-0.366990331
ENSG00000169564,ENSG00000063180,-0.279198786
ENSG00000169710,ENSG00000063180,-0.122600028
ENSG00000171223,ENSG00000063180,-0.484837211
ENSG00000171560,ENSG00000063180,-0.492999639
ENSG00000172270,ENSG00000063180,-0.126515936
ENSG00000172660,ENSG00000063180,0.151471119
ENSG00000173432,ENSG00000063180,-0.565347369
ENSG00000174231,ENSG00000063180,0.045559791
ENSG00000174437,ENSG00000063180,-0.070135278
ENSG00000177469,ENSG00000063180,0.122329469
ENSG00000177666,ENSG00000063180,-0.147893533
ENSG00000178209,ENSG00000063180,-0.222403144
ENSG00000178719,ENSG00000063180,0.045243444
ENSG00000179218,ENSG00000063180,-0.498951125
ENSG00000179262,ENSG00000063180,-0.167388877
ENSG00000181222,ENSG00000063180,0.261564433
ENSG00000184009,ENSG00000063180,-0.326964
ENSG00000184897,ENSG00000063180,0.09083813
ENSG00000185650,ENSG00000063180,-0.526534712
ENSG00000185883,ENSG00000063180,0.519391984
ENSG00000186081,ENSG00000063180,-0.219435191
ENSG00000189060,ENSG00000063180,0.091693805
ENSG00000196091,ENSG00000063180,-0.099968694
ENSG00000196218,ENSG00000063180,0.528571179
ENSG00000196361,ENSG00000063180,0.907867449
ENSG00000196754,ENSG00000063180,-0.00985203
ENSG00000197102,ENSG00000063180,0.440460398
ENSG00000197249,ENSG00000063180,-0.715087706
ENSG00000197711,ENSG00000063180,-0.480836713
ENSG00000197766,ENSG00000063180,-0.272992198
ENSG00000198695,ENSG00000063180,-0.334785717
ENSG00000198712,ENSG00000063180,0.120934282
